time,x,y,x_tilt,y_tilt,pressure
3392,471,261,-36,0,0
3399,471,261,-36,0,0
3399,471,260,-36,0,0
3632,456,229,-38,6,0.291153
3637,456,229,-37,6,0.345383
3642,456,229,-37,6,0.382996
3649,456,228,-36,6,0.407425
3654,456,228,-36,6,0.421097
3660,456,228,-36,6,0.425491
3660,456,228,-36,6,0.424026
3666,456,228,-36,6,0.414261
3671,456,228,-36,6,0.395203
3678,456,228,-36,6,0.368332
3684,456,228,-36,6,0.327789
3690,456,228,-36,6,0.285294
3690,455,228,-36,6,0.237411
3696,455,229,-36,6,0.120651
3702,455,229,-36,6,0
4156,474,272,-34,0,0.0957489
4163,474,272,-34,0,0.106491
4168,475,272,-34,0,0.12114
4168,475,272,-34,0,0.133362
4174,475,272,-34,0,0.15387
4180,476,271,-35,0,0.174393
4186,476,271,-35,0,0.185135
4191,476,270,-36,0,0.20224
4198,477,270,-36,0,0.214447
4198,477,269,-36,0,0.225204
4203,478,269,-36,0,0.235458
4209,478,268,-36,0,0.247177
4215,478,268,-36,0,0.255981
4220,479,267,-36,0,0.25647
4227,479,266,-36,0,0.259888
4233,480,265,-36,0,0.27063
4233,480,265,-36,0,0.274048
4238,481,264,-36,0,0.276001
4244,481,263,-36,0,0.279907
4250,481,263,-36,0,0.281387
4255,482,262,-36,0,0.286758
4261,482,262,-36,0,0.292618
4266,483,261,-36,0,0.297012
4272,483,260,-36,0,0.297012
4278,483,260,-36,0,0.298965
4278,484,259,-36,1,0.30629
4284,484,258,-36,1,0.312653
4290,485,257,-36,2,0.314606
4296,485,256,-36,2,0.32193
4302,485,255,-37,2,0.325348
4307,486,254,-37,2,0.331207
4314,486,253,-38,2,0.33316
4314,486,252,-38,2,0.338531
4319,486,251,-38,2,0.339508
4325,486,250,-38,2,0.339996
4331,487,249,-38,2,0.337067
4337,487,248,-38,2,0.338043
4342,487,247,-38,2,0.341461
4349,487,246,-38,2,0.340485
4349,487,245,-38,2,0.343414
4354,487,244,-38,2,0.341461
4360,486,243,-38,2,0.342438
4366,486,242,-38,3,0.344894
4372,486,241,-38,3,0.345383
4379,486,240,-38,4,0.347824
4384,486,239,-38,4,0.350266
