time,x,y,x_tilt,y_tilt,pressure
38042,797,658,-39,7,0.113815
38048,797,658,-39,7,0.14801
38053,798,658,-39,7,0.180252
38058,798,658,-39,7,0.196869
38063,798,658,-39,7,0.217377
38068,798,657,-39,7,0.23497
38075,798,657,-39,7,0.255981
38080,799,657,-39,7,0.274048
38085,799,657,-39,7,0.292618
38091,799,657,-39,7,0.311172
38092,800,657,-39,7,0.327301
38097,800,657,-39,7,0.338043
38102,801,657,-39,7,0.347336
38108,801,657,-39,7,0.359543
38113,801,657,-39,7,0.36882
38118,802,657,-39,7,0.378113
38125,802,657,-39,7,0.386902
38130,803,658,-39,7,0.392761
38135,803,658,-39,7,0.399109
38141,804,658,-39,7,0.40448
38147,804,658,-39,7,0.410355
38147,805,658,-39,7,0.42012
38152,805,659,-39,7,0.427933
38158,806,659,-39,7,0.433304
38164,806,659,-39,7,0.43721
38169,806,659,-39,7,0.440155
38174,807,659,-39,7,0.44455
38180,807,659,-39,7,0.450409
38185,808,660,-40,7,0.454315
38191,808,660,-40,7,0.456268
38197,808,660,-41,7,0.457733
38202,809,661,-41,7,0.465057
38208,809,661,-41,7,0.470444
38208,810,661,-41,7,0.476303
38213,810,661,-41,6,0.479233
38218,810,662,-41,6,0.484604
38225,811,662,-41,6,0.486557
38230,811,662,-41,6,0.489487
38235,812,663,-41,6,0.495346
38241,812,663,-41,6,-0.499268
38247,813,663,-41,6,-0.498779
38247,813,664,-41,6,-0.498291
38253,814,664,-41,6,-0.491943
38259,814,664,-41,6,-0.489014
38264,814,665,-41,6,-0.48999
38269,815,665,-41,6,-0.488037
38276,815,666,-41,6,-0.483643
38281,815,666,-41,6,-0.481201
38287,816,667,-41,6,-0.478271
38293,816,667,-41,6,-0.475342
38293,816,667,-41,6,-0.472412
38298,816,668,-41,5,-0.470459
38303,817,668,-41,5,-0.466537
38309,817,669,-41,5,-0.464096
38314,817,669,-41,5,-0.462631
38320,817,670,-41,5,-0.460678
38326,818,671,-41,5,-0.458237
38330,818,671,-41,4,-0.452377
38335,819,672,-41,4,-0.450912
38341,819,673,-41,4,-0.445541
38346,819,674,-41,4,-0.439194
