time,x,y,x_tilt,y_tilt,pressure
50627,416,404,-35,5,0.210541
50632,416,404,-35,5,0.230087
50637,416,404,-35,5,0.248154
50642,416,404,-35,5,0.265259
50646,416,403,-35,5,0.282364
50652,416,403,-35,5,0.294571
50657,416,403,-35,5,0.306778
50661,416,402,-35,5,0.319977
50666,416,402,-35,5,0.332184
50672,416,402,-35,5,0.346359
50676,417,401,-35,5,0.361008
50681,417,401,-35,5,0.373215
50686,417,400,-35,5,0.382507
50691,417,400,-35,5,0.392273
50696,417,400,-35,5,0.400085
50702,418,399,-35,5,0.40889
50708,418,399,-35,5,0.418167
50713,419,398,-35,5,0.428909
50719,419,398,-35,5,0.436234
50724,419,397,-35,5,0.443573
50729,420,397,-35,5,0.449432
50735,420,397,-35,5,0.454803
50741,421,397,-35,5,0.458221
50745,422,397,-35,5,0.465546
50751,423,397,-35,5,0.470932
50756,423,397,-35,5,0.475327
50760,424,397,-35,5,0.484604
50765,425,397,-35,5,0.489975
50770,426,397,-36,5,0.494858
50775,427,397,-36,5,-0.499268
50779,428,398,-37,5,-0.494873
50785,429,398,-37,5,-0.493408
50791,429,398,-37,5,-0.483643
50796,430,399,-37,5,-0.47876
50802,431,399,-37,5,-0.474854
50802,432,400,-37,5,-0.468491
50807,432,400,-37,4,-0.464584
50813,433,401,-37,4,-0.463608
50819,434,401,-37,4,-0.459702
50824,434,402,-37,4,-0.457748
50829,435,402,-38,4,-0.453842
50835,435,403,-38,4,-0.453354
50841,436,404,-39,3,-0.454819
50845,437,405,-39,3,-0.448471
50852,437,405,-39,3,-0.446518
50852,438,406,-39,3,-0.449936
50857,438,407,-39,3,-0.452377
50862,439,407,-39,2,-0.448471
50868,440,408,-39,2,-0.448471
50874,440,409,-39,2,-0.448959
50878,440,410,-39,1,-0.450424
50884,441,411,-39,1,-0.450912
50889,441,411,-39,1,-0.453354
50893,441,412,-39,1,-0.458725
50898,441,413,-39,0,-0.459702
50904,441,413,-39,0,-0.46312
50909,441,414,-39,0,-0.466049
50914,441,415,-39,0,-0.467026
50920,441,416,-39,0,-0.466537
50926,441,417,-39,0,-0.466537
50930,440,418,-39,0,-0.467514
50936,440,419,-39,0,-0.468994
50940,439,420,-39,-1,-0.468002
50945,439,422,-39,-1,-0.470459
50951,438,423,-39,-2,-0.470947
50957,437,424,-39,-2,-0.471924
50961,437,425,-39,-2,-0.474854
50967,436,426,-39,-2,-0.480225
50972,435,427,-38,-2,-0.479736
50977,434,427,-38,-2,-0.485596
50981,433,428,-38,-2,-0.489502
50987,432,429,-38,-2,-0.496338
50992,431,429,-38,-2,0.496323
50997,430,430,-37,-2,0.487045
51003,429,430,-37,-2,0.473373
51003,428,430,-37,-2,0.457245
51008,427,430,-37,-2,0.437714
51013,426,430,-37,-2,0.404968
51019,425,429,-37,-2,0.361496
51024,425,429,-36,-2,0.317535
51029,424,428,-36,-2,0.272583
51035,424,427,-36,-2,0.22374
51040,424,427,-36,-2,0.174881
51045,423,426,-36,-2,0.120163
51049,423,425,-36,-1,0.0849915
51055,423,424,-37,-1,0.0605621
51059,423,423,-37,-1,0.0161133
51065,423,422,-38,-1,0
51346,420,397,-36,6,0.155334
51352,420,397,-36,6,0.176346
51358,420,398,-36,6,0.18808
51363,420,398,-36,6,0.19931
51369,420,398,-36,6,0.211029
51374,420,398,-36,6,0.219833
51379,419,398,-36,6,0.228134
51386,419,398,-36,6,0.236435
51386,419,398,-35,6,0.245224
51391,419,398,-35,6,0.255005
51396,419,398,-35,6,0.264282
51402,418,398,-35,6,0.274536
51407,418,398,-35,6,0.284317
51412,418,398,-35,6,0.29213
51418,418,398,-35,6,0.301407
51424,417,399,-35,6,0.314117
51429,417,399,-35,5,0.327789
51435,417,399,-35,5,0.334625
51440,416,399,-34,5,0.341461
51445,416,399,-34,5,0.350266
51445,416,399,-34,5,0.359055
51451,415,400,-34,5,0.365891
51457,415,400,-34,5,0.372238
51462,415,400,-34,5,0.377136
51468,415,401,-34,5,0.381531
51473,415,401,-34,5,0.386902
