time,x,y,x_tilt,y_tilt,pressure
20806,580,650,-39,10,0.152405
20813,580,650,-39,10,0.178299
20819,580,650,-39,10,0.194427
20824,580,650,-39,10,0.222763
20829,580,650,-39,10,0.248642
20834,580,650,-39,10,0.276978
20840,581,650,-39,10,0.301407
20840,581,650,-39,10,0.323883
20845,581,650,-39,10,0.343414
20850,581,650,-39,10,0.361984
20856,581,650,-39,10,0.377136
20861,581,650,-39,10,0.389343
20866,581,650,-39,10,0.400085
20871,581,650,-39,10,0.40889
20877,581,650,-39,10,0.417191
20882,580,650,-39,10,0.424515
20887,580,650,-39,10,0.430374
20892,580,651,-39,10,0.436234
20897,580,651,-39,10,0.442108
20902,580,651,-39,10,0.448944
20908,580,651,-39,10,0.45578
20913,580,651,-39,10,0.461639
20918,580,652,-39,10,0.465546
20924,580,652,-39,10,0.471909
20929,580,652,-39,10,0.477768
20934,580,653,-39,10,0.483627
20940,579,654,-39,10,0.489975
20945,579,654,-39,10,0.497299
20946,579,655,-39,10,-0.493896
20951,579,656,-39,10,-0.490967
20956,579,657,-39,10,-0.486084
20961,579,658,-39,10,-0.480225
20967,579,659,-39,9,-0.4729
20973,579,659,-39,9,-0.466537
20978,579,660,-39,9,-0.459702
20983,579,662,-39,9,-0.453842
20989,579,663,-39,9,-0.447006
20994,579,665,-39,9,-0.442612
20999,579,666,-39,8,-0.441635
21004,579,668,-39,8,-0.438705
21010,579,669,-38,8,-0.435272
21014,579,670,-38,8,-0.431366
21019,579,672,-38,7,-0.42746
21025,580,674,-38,7,-0.42746
21030,580,675,-38,7,-0.425995
21034,580,677,-38,7,-0.426483
21040,580,678,-38,6,-0.425018
21045,581,680,-38,6,-0.420624
21049,581,682,-38,6,-0.419159
21054,581,683,-38,5,-0.418671
21061,581,685,-38,5,-0.417206
21061,581,687,-38,5,-0.4133
21066,581,689,-38,4,-0.411835
21071,582,691,-38,4,-0.411835
21077,582,692,-38,4,-0.405472
21082,582,694,-38,3,-0.401566
21087,582,695,-38,3,-0.399612
21093,582,697,-38,3,-0.398636
21099,582,699,-38,2,-0.392776
21106,582,701,-38,2,-0.386917
21112,582,703,-38,2,-0.385452
21112,582,705,-38,2,-0.381546
21117,582,707,-38,1,-0.375198
21123,582,709,-37,1,-0.376175
21128,582,711,-37,1,-0.370789
21133,582,712,-37,1,-0.366882
21140,582,714,-37,1,-0.361023
21145,582,716,-37,1,-0.360535
21150,583,718,-37,1,-0.35907
21157,583,719,-37,0,-0.354187
21163,583,721,-37,0,-0.347839
