time,x,y,x_tilt,y_tilt,pressure
58900,962,265,-31,-10,0.157303
58906,962,265,-31,-10,0.180252
58912,962,265,-31,-10,0.196381
58917,962,265,-31,-10,0.212006
58922,963,265,-31,-10,0.222275
58928,963,265,-31,-10,0.238388
58933,963,265,-31,-10,0.247665
58934,963,265,-31,-10,0.255493
58939,964,265,-31,-10,0.255005
58944,964,265,-31,-10,0.252563
58949,964,265,-31,-10,0.25354
58954,965,265,-31,-10,0.256958
58960,965,265,-31,-10,0.263794
58966,966,264,-31,-10,0.271606
58970,966,264,-31,-10,0.277466
58977,967,264,-32,-10,0.284317
58982,967,264,-32,-10,0.290665
58987,968,263,-33,-10,0.297012
58991,968,263,-33,-10,0.304825
58997,969,262,-33,-10,0.312653
59001,969,262,-33,-10,0.318024
59006,970,262,-33,-10,0.325348
59012,970,261,-33,-9,0.330231
59017,971,261,-33,-9,0.334137
59022,972,261,-33,-9,0.338043
59028,972,260,-33,-9,0.343918
59033,973,260,-33,-9,0.345383
59038,973,259,-33,-9,0.344406
59044,974,259,-34,-9,0.348312
59044,975,258,-34,-9,0.352219
59048,975,258,-35,-9,0.355148
59053,976,257,-35,-9,0.353683
59059,977,256,-35,-9,0.35759
59064,977,255,-35,-9,0.358566
59069,978,254,-35,-9,0.361984
59075,978,254,-35,-9,0.365891
59080,979,253,-35,-8,0.369797
59085,980,252,-35,-8,0.377136
59090,980,251,-35,-8,0.379578
59095,981,250,-35,-8,0.386414
59100,981,249,-36,-8,0.386414
59105,982,248,-36,-7,0.391785
59111,982,247,-37,-7,0.395691
59116,983,246,-37,-7,0.398621
59120,983,245,-37,-7,0.403992
59126,984,244,-37,-7,0.406937
59130,984,243,-37,-6,0.412796
59135,985,242,-37,-6,0.418655
59140,985,241,-37,-6,0.42305
59146,985,241,-37,-6,0.424515
59150,986,240,-37,-5,0.429398
59155,986,239,-37,-5,0.432327
59161,986,239,-37,-5,0.436234
59165,986,238,-37,-5,0.439667
59170,986,237,-37,-4,0.442108
59176,986,237,-37,-4,0.446503
59180,986,236,-37,-4,0.447479
59185,986,236,-37,-4,0.447479
59190,986,235,-37,-4,0.450897
59196,986,235,-37,-4,0.449921
59201,986,234,-37,-4,0.453339
59205,986,234,-37,-3,0.455292
59211,986,233,-37,-3,0.457733
59216,985,233,-37,-3,0.460175
59221,985,232,-37,-3,0.461639
59227,985,232,-37,-3,0.464569
59232,985,232,-37,-3,0.467987
59236,985,232,-37,-3,0.471909
59243,984,232,-37,-3,0.475327
59249,984,232,-37,-3,0.476791
59254,983,232,-37,-3,0.476791
59260,983,232,-37,-3,0.475815
59260,983,232,-37,-3,0.47728
59266,982,233,-37,-3,0.482651
59270,982,233,-37,-3,0.486557
59277,981,233,-37,-3,0.495834
59282,981,233,-37,-3,-0.498779
59287,980,234,-37,-3,-0.494873
59293,980,234,-37,-3,-0.490967
59298,979,235,-37,-3,-0.489014
59303,978,235,-37,-3,-0.488037
59309,978,236,-37,-3,-0.484619
59315,977,236,-37,-3,-0.485596
59315,977,237,-37,-3,-0.483643
59320,976,238,-36,-3,-0.482178
59326,976,239,-36,-3,-0.479248
59332,975,240,-36,-3,-0.480225
59337,975,241,-36,-3,-0.477783
59343,975,242,-36,-3,-0.477295
59349,974,243,-36,-3,-0.474365
59355,974,244,-36,-3,-0.473877
59360,974,245,-35,-3,-0.468994
59360,973,246,-35,-3,-0.468491
59365,973,247,-35,-3,-0.464584
59371,973,248,-35,-3,-0.462143
59377,973,248,-35,-4,-0.458237
59381,973,249,-35,-4,-0.456284
59386,973,250,-35,-5,-0.454819
59391,973,252,-35,-5,-0.452866
59397,973,252,-35,-5,-0.451401
59401,973,254,-35,-5,-0.447495
59406,973,255,-35,-5,-0.4431
59412,973,256,-35,-5,-0.436737
59418,973,257,-35,-5,-0.429413
59424,973,258,-35,-5,-0.421112
59431,974,259,-35,-6,-0.416718
59431,974,260,-35,-6,-0.409882
59437,974,261,-35,-7,-0.400101
59443,974,262,-35,-7,-0.390335
59448,975,263,-35,-7,-0.383987
59453,975,263,-35,-7,-0.379593
59457,975,264,-35,-7,-0.366882
59463,976,265,-35,-7,-0.355652
59467,976,265,-35,-8,-0.351257
59472,976,266,-35,-8,-0.345398
59478,977,266,-35,-9,-0.333664
59482,977,267,-35,-9,-0.328293
59487,978,267,-35,-9,-0.326828
59492,979,267,-35,-9,-0.319016
59496,979,268,-35,-9,-0.312164
59502,979,268,-35,-9,-0.309723
59509,980,268,-35,-9,-0.313156
59514,981,268,-35,-9,-0.313156
59519,981,267,-35,-9,-0.311676
59525,982,267,-35,-9,-0.312668
59530,983,267,-35,-9,-0.312668
59535,984,266,-35,-9,-0.310211
59539,985,266,-35,-9,-0.305328
59545,986,266,-35,-9,-0.301422
59550,987,265,-36,-9,-0.291168
59554,988,265,-36,-9,-0.288727
59560,989,264,-37,-9,-0.29361
59565,990,263,-37,-9,-0.288727
59570,991,262,-37,-9,-0.291168
59575,992,261,-37,-9,-0.288239
59581,993,260,-37,-9,-0.291168
59585,994,260,-37,-9,-0.300934
59591,994,259,-37,-9,-0.309235
59596,994,259,-38,-9,-0.323898
59600,995,259,-38,-9,-0.346863
59605,995,259,-39,-9,-0.37764
59611,995,259,-39,-9,-0.419159
59611,995,259,-39,-9,-0.465073
59617,994,259,-39,-9,0.497787
59622,994,259,-39,-9,0.45285
59628,994,259,-39,-9,0.392761
59633,993,259,-39,-9,0.308243
59637,992,260,-39,-9,0.227158
59643,991,260,-39,-9,0.149963
59648,989,261,-39,-9,0.106491
59653,988,261,-39,-9,0.0615387
59658,986,262,-39,-9,0.00732422
59663,985,263,-39,-9,0
60188,988,266,-35,-9,0.275024
60193,988,266,-35,-9,0.302872
60198,988,266,-35,-9,0.319489
60204,988,266,-35,-9,0.331207
