time,x,y,x_tilt,y_tilt,pressure
28098,1913,905,-36,63,0.28334
28103,1911,903,-36,63,0.299942
28109,1908,900,-37,63,0.288712
28109,1906,898,-37,63,0.239365
28115,1903,895,-38,63,0.0884094
28120,1900,893,-39,63,0
50504,356,579,-36,-4,0.0512848
50510,356,579,-36,-4,0.058609
50510,356,579,-36,-4,0.066925
50515,356,579,-36,-4,0.0752258
50521,356,579,-36,-4,0.0845032
50526,356,579,-36,-4,0.0981903
50531,355,579,-36,-4,0.12114
50538,355,579,-36,-4,0.144104
50543,355,579,-36,-4,0.171951
50547,355,579,-36,-4,0.197845
50553,355,579,-36,-4,0.22081
50558,355,579,-36,-4,0.242294
50563,355,579,-36,-4,0.263306
50568,355,579,-36,-4,0.283829
50574,356,579,-36,-4,0.302383
50579,356,579,-36,-4,0.318024
50579,356,579,-36,-4,0.330719
50585,356,578,-36,-4,0.339508
50591,356,578,-36,-4,0.346359
50596,356,578,-36,-4,0.353195
50600,357,578,-36,-4,0.358566
50606,357,578,-36,-4,0.360519
50611,357,577,-36,-4,0.361496
50616,357,577,-36,-4,0.366379
50622,358,577,-36,-4,0.366867
50627,358,576,-36,-4,0.371262
50632,358,576,-36,-4,0.373703
50638,359,575,-36,-4,0.374191
50643,359,574,-36,-4,0.378113
50648,360,574,-36,-4,0.382507
50654,360,573,-36,-4,0.382507
50660,361,572,-36,-4,0.388367
50665,361,572,-36,-4,0.39032
50670,362,571,-36,-4,0.394714
50670,363,570,-36,-3,0.395203
50676,363,569,-36,-3,0.395691
50681,364,568,-36,-3,0.399597
50686,365,567,-36,-3,0.400574
50691,365,566,-37,-3,0.399597
50696,366,565,-37,-2,0.402527
50702,366,564,-38,-2,0.40448
50707,367,563,-38,-2,0.403503
50711,367,562,-38,-2,0.400574
50716,368,561,-38,-1,0.399597
50722,368,560,-38,-1,0.400574
50726,369,559,-38,-1,0.40155
50731,369,559,-38,-1,0.403992
50737,369,558,-38,-1,0.40448
50742,369,558,-38,0,0.402527
50746,370,557,-38,0,0.403503
50752,370,556,-38,0,0.403992
50757,370,555,-38,0,0.404968
50761,370,554,-38,0,0.405945
50766,371,554,-38,0,0.407425
50772,371,553,-38,0,0.407425
50777,371,552,-39,0,0.407913
50782,371,552,-39,0,0.409378
50788,371,551,-40,0,0.407913
50793,371,550,-40,0,0.405945
50798,371,549,-40,0,0.405457
50804,371,549,-40,0,0.403992
50809,371,548,-40,0,0.40448
50814,371,548,-40,0,0.406448
50819,371,547,-40,0,0.409866
50824,370,547,-40,0,0.409378
50829,370,546,-40,0,0.407425
50835,370,546,-40,0,0.405945
50840,369,546,-40,0,0.405945
50845,369,545,-39,0,0.405945
50850,369,545,-39,1,0.40448
50855,369,545,-39,1,0.402527
50860,368,545,-39,2,0.399597
50865,368,544,-39,2,0.400085
50870,367,544,-39,2,0.403503
50875,367,544,-39,2,0.402527
50880,366,544,-39,2,0.400574
50886,366,544,-39,2,0.400574
50891,366,544,-39,2,0.402527
50896,365,544,-39,2,0.40448
50900,365,544,-39,2,0.405457
50906,364,545,-39,2,0.407425
50906,364,545,-39,2,0.409866
50912,364,545,-38,2,0.417191
50917,363,545,-38,2,0.420609
50922,363,546,-38,2,0.422073
50927,362,546,-38,2,0.425003
50932,362,547,-38,2,0.42598
50938,362,547,-38,2,0.427933
50942,361,548,-38,2,0.427444
50947,361,549,-38,2,0.428909
50954,360,550,-37,2,0.427444
50959,360,550,-37,2,0.428421
50964,360,551,-37,2,0.430374
50970,360,552,-37,2,0.432327
50975,359,552,-37,2,0.433304
50980,359,553,-37,2,0.434769
50986,359,553,-37,2,0.43721
50986,359,554,-37,2,0.44162
50992,359,555,-37,2,0.443085
50997,359,555,-37,2,0.444061
51003,359,556,-37,1,0.445038
51007,359,557,-37,1,0.446503
51012,359,557,-37,1,0.446991
51018,359,558,-37,1,0.446503
51023,359,559,-37,1,0.44455
51028,359,559,-37,1,0.444061
51033,359,560,-37,0,0.442596
51038,359,561,-37,0,0.439178
51043,359,562,-37,0,0.43869
51048,359,562,-37,0,0.437714
51054,359,563,-37,0,0.43721
