time,x,y,x_tilt,y_tilt,pressure
42216876,406,361,-34,-1,0.0381012
42216884,406,361,-34,-1,0.0473785
42216890,406,361,-34,-1,0.0532379
42216890,406,361,-34,-1,0.0595856
42216896,406,361,-34,-1,0.0649719
42216901,406,361,-34,-1,0.0698547
42216907,406,361,-34,-1,0.0742493
42216911,406,361,-34,-1,0.085968
42216917,406,361,-34,-1,0.0986786
42216922,406,361,-34,-1,0.112839
42216927,406,361,-34,-1,0.126526
42216933,406,361,-34,-1,0.143127
42216937,406,361,-34,-1,0.160721
42216942,406,361,-34,-1,0.179276
42216948,407,361,-34,-1,0.20224
42216953,407,361,-34,-1,0.222275
42216958,407,361,-34,-1,0.240829
42216964,407,361,-34,-1,0.259399
42216969,407,361,-34,-1,0.276489
42216974,407,361,-34,-1,0.293106
42216979,407,361,-34,-1,0.309219
42216984,407,361,-34,-1,0.32486
42216989,408,361,-34,-1,0.33902
42216990,408,361,-34,-1,0.351242
42216996,408,360,-34,-1,0.361984
42217001,408,360,-34,-1,0.374191
42217006,408,360,-34,-1,0.386414
42217010,409,360,-34,0,0.397156
42217017,409,360,-34,0,0.407425
42217021,409,360,-33,0,0.404968
42217026,409,360,-33,0,0.413773
42217032,410,360,-33,0,0.42012
42217036,410,360,-33,0,0.424026
42217041,410,360,-33,0,0.428909
42217048,411,360,-33,0,0.434769
42217053,411,360,-33,0,0.43721
42217058,412,360,-33,0,0.437714
42217064,412,360,-33,0,0.43869
42217070,412,360,-33,0,0.43869
42217075,413,360,-33,0,0.443085
42217081,413,361,-33,0,0.446014
42217081,414,361,-33,0,0.447479
42217086,414,361,-33,0,0.448456
42217091,414,361,-33,0,0.450409
42217097,415,360,-34,0,0.451874
42217103,415,360,-34,0,0.455292
42217108,415,360,-35,0,0.457245
42217112,416,360,-35,0,0.459198
42217118,416,360,-35,0,0.460663
42217127,416,360,-34,0,0.45871
42217133,416,360,-34,0,0.456757
42217138,417,360,-34,0,0.458221
42217143,417,360,-34,0,0.461639
42217149,417,360,-34,0,0.465546
42217154,417,360,-34,0,0.466522
42217159,418,360,-34,0,0.467499
42217165,418,360,-34,0,0.467499
42217171,418,360,-34,0,0.467499
42217176,419,360,-34,0,0.465057
42217182,419,360,-34,0,0.466522
42217182,419,360,-34,0,0.472397
42217187,420,360,-34,0,0.475327
42217192,420,361,-34,0,0.472885
42217198,421,361,-34,0,0.46701
42217203,421,361,-34,0,0.469955
42217208,422,361,-34,0,0.475327
42217212,422,361,-34,0,0.479721
42217218,423,361,-34,0,0.481674
42217223,423,361,-34,0,0.483139
42217227,423,361,-34,0,0.484604
42217233,424,361,-34,0,0.485092
42217238,424,361,-34,0,0.487534
42217243,424,361,-34,0,0.48851
42217249,424,361,-34,0,0.49144
42217254,425,361,-34,0,0.494858
42217259,425,361,-34,0,0.498276
42217265,425,361,-34,0,-0.498291
42217269,426,361,-34,0,-0.494873
42217274,426,361,-34,0,-0.49292
42217280,426,361,-34,0,-0.490479
42217286,426,361,-34,0,-0.486572
42217291,427,361,-34,0,-0.483643
42217297,427,361,-34,0,-0.480225
42217297,427,361,-33,0,-0.476807
42217302,427,361,-33,0,-0.474365
42217307,427,361,-33,0,-0.470947
42217312,427,361,-33,0,-0.467514
42217317,427,361,-33,0,-0.465561
42217322,428,361,-33,0,-0.465073
42217328,428,360,-33,0,-0.460678
42217334,428,360,-33,0,-0.459702
42217340,429,360,-33,0,-0.461166
42217345,429,360,-32,0,-0.46019
42217350,430,360,-32,0,-0.458725
42217354,431,360,-32,0,-0.455795
42217360,431,359,-32,0,-0.459213
42217366,432,359,-32,0,-0.459213
42217370,433,359,-32,0,-0.462631
42217376,434,359,-32,0,-0.467514
42217382,435,359,-32,0,-0.465561
42217386,436,359,-32,0,-0.46019
42217391,437,359,-32,0,-0.452377
42217396,438,359,-32,0,-0.453354
42217401,440,359,-32,0,-0.452377
42217405,441,359,-32,0,-0.457748
42217411,442,359,-32,0,-0.453842
42217416,443,359,-32,0,-0.448959
42217422,445,360,-32,0,-0.444077
42217429,446,360,-32,0,-0.445541
42217429,447,360,-32,0,-0.444077
42217435,448,360,-32,0,-0.446518
42217439,449,361,-32,0,-0.447983
42217445,450,361,-32,0,-0.44603
42217450,451,361,-32,0,-0.446518
42217455,452,361,-32,0,-0.445541
42217461,453,361,-32,0,-0.445053
42217466,454,361,-32,0,-0.443588
42217470,455,361,-32,0,-0.444565
42217476,455,361,-31,0,-0.445541
42217482,456,361,-31,0,-0.439682
42217487,457,361,-31,0,-0.438217
42217492,458,361,-31,0,-0.445541
42217497,458,361,-31,0,-0.438217
42217502,459,361,-31,0,-0.437225
42217507,460,361,-31,0,-0.43576
42217512,461,361,-30,0,-0.436249
42217517,462,361,-30,0,-0.435272
42217521,463,360,-30,0,-0.436249
42217527,463,360,-30,0,-0.432831
42217533,464,360,-30,0,-0.431854
42217533,465,360,-29,0,-0.438705
42217538,466,360,-29,0,-0.441147
42217544,467,360,-29,0,-0.437729
42217548,467,360,-29,0,-0.434784
42217554,468,360,-29,0,-0.44017
42217560,469,360,-28,0,-0.444077
42217565,470,360,-28,0,-0.448959
42217570,471,360,-28,0,-0.451401
42217576,472,360,-28,0,-0.4431
42217582,473,360,-28,0,-0.448471
42217587,474,360,-28,0,-0.452866
42217593,475,360,-28,0,-0.449936
42217598,476,359,-28,0,-0.448959
42217598,477,359,-28,0,-0.453354
42217604,478,359,-28,0,-0.458725
42217610,479,359,-28,0,-0.46019
42217616,479,359,-28,0,-0.456772
42217622,480,359,-28,0,-0.452866
42217629,481,359,-28,0,-0.458725
42217629,482,359,-29,0,-0.459213
42217635,482,359,-29,0,-0.456284
42217639,483,359,-30,0,-0.460678
42217645,484,359,-30,0,-0.461166
42217650,484,358,-30,0,-0.454819
42217656,485,358,-30,0,-0.455307
42217663,485,358,-30,0,-0.467514
42217669,486,358,-30,0,-0.464096
42217669,487,358,-30,0,-0.463608
42217675,488,358,-30,0,-0.461166
42217680,488,358,-30,0,-0.461166
42217685,489,358,-30,0,-0.462143
42217690,489,357,-30,0,-0.46312
42217696,490,357,-30,0,-0.462631
42217700,491,357,-30,0,-0.456772
42217706,491,357,-30,0,-0.450912
42217712,492,357,-30,0,-0.448959
42217718,492,357,-30,0,-0.450424
42217723,493,357,-30,0,-0.455307
42217729,494,357,-30,0,-0.455795
42217729,494,356,-30,0,-0.449448
42217735,495,356,-30,0,-0.445053
42217740,496,356,-30,0,-0.44017
42217746,497,356,-30,0,-0.433807
42217751,497,356,-30,0,-0.429901
42217756,498,356,-30,0,-0.425018
42217761,499,356,-30,0,-0.415741
42217766,500,356,-30,0,-0.410858
42217771,501,356,-30,0,-0.40744
42217777,501,356,-30,0,-0.411346
42217782,502,356,-30,0,-0.405472
