time,x,y,x_tilt,y_tilt,pressure
28894,448,449,-32,-3,0.066925
28899,448,449,-32,-3,0.0815735
28905,448,448,-32,-3,0.0947723
28910,448,448,-32,-3,0.106979
28915,448,448,-32,-3,0.118698
28921,448,448,-32,-3,0.13092
28926,448,448,-32,-3,0.143127
28931,448,448,-32,-3,0.145081
28938,448,448,-32,-3,0.156815
28938,448,448,-32,-3,0.166092
28943,447,448,-32,-3,0.168533
28949,447,448,-32,-3,0.183182
28955,447,449,-32,-3,0.197845
28960,447,449,-32,-3,0.213959
28964,447,449,-32,-3,0.229599
28970,447,449,-32,-3,0.245224
28975,447,449,-32,-3,0.260864
28980,447,449,-32,-3,0.276001
28986,448,449,-32,-3,0.290176
28991,448,449,-32,-3,0.30336
28996,448,449,-31,-3,0.315582
29001,448,449,-31,-3,0.326324
29007,448,449,-31,-3,0.337555
29011,448,449,-31,-3,0.348801
29017,448,449,-31,-3,0.359543
29023,448,449,-31,-3,0.370285
29027,448,449,-31,-3,0.381042
29033,448,449,-31,-3,0.392761
29038,448,449,-31,-3,0.404968
29044,448,449,-31,-3,0.418167
29044,448,449,-31,-3,0.430374
29049,448,449,-31,-3,0.442108
29055,448,449,-31,-3,0.454803
29060,448,449,-31,-3,0.46701
29065,448,449,-31,-3,0.479721
29071,448,449,-31,-3,0.49144
29076,448,449,-31,-3,-0.496338
29081,448,449,-31,-3,-0.485107
29088,448,449,-31,-3,-0.4729
29093,448,449,-31,-3,-0.462631
29094,448,449,-31,-3,-0.450912
29101,448,449,-31,-3,-0.440659
29108,448,449,-31,-3,-0.431854
29113,448,449,-31,-3,-0.425507
29118,448,449,-31,-3,-0.419159
29119,448,449,-31,-3,-0.413788
29124,448,449,-31,-3,-0.408905
29129,448,449,-31,-3,-0.40596
29135,448,449,-31,-3,-0.402542
29140,448,449,-31,-3,-0.398636
29145,448,449,-31,-3,-0.395706
29152,449,449,-31,-3,-0.3918
29158,449,449,-31,-3,-0.387894
29163,449,449,-31,-3,-0.383499
29169,449,449,-31,-3,-0.380081
29174,449,449,-31,-3,-0.377151
29179,449,449,-31,-3,-0.375198
29185,449,450,-30,-3,-0.3703
29185,449,450,-30,-3,-0.366394
29191,450,450,-30,-3,-0.362976
29196,450,450,-30,-3,-0.361511
29201,450,450,-30,-3,-0.360046
29206,450,450,-30,-3,-0.355652
29212,450,450,-30,-3,-0.35321
29218,450,451,-30,-3,-0.351257
29223,451,451,-30,-3,-0.349792
29228,451,451,-30,-3,-0.347839
29234,451,451,-30,-3,-0.346863
29239,451,451,-30,-3,-0.346375
29245,451,451,-30,-3,-0.346375
29255,451,451,-30,-3,-0.349792
29260,452,451,-30,-3,-0.364441
29265,452,451,-30,-3,-0.367371
29272,453,451,-30,-3,-0.365417
29278,453,451,-30,-3,-0.367859
29284,454,451,-30,-3,-0.371765
29288,454,451,-30,-3,-0.377151
29293,454,451,-30,-3,-0.378616
29300,455,451,-30,-3,-0.375687
29300,455,451,-30,-3,-0.37323
29306,455,451,-30,-3,-0.3703
29311,455,451,-30,-3,-0.367371
29317,455,451,-30,-3,-0.363953
29323,455,451,-30,-3,-0.362976
29328,456,451,-30,-3,-0.360046
29335,456,452,-30,-3,-0.350769
29335,456,452,-30,-3,-0.341965
29341,456,452,-30,-3,-0.33757
29347,456,452,-30,-2,-0.335617
29353,457,452,-30,-2,-0.332687
29358,457,452,-30,-2,-0.327316
29363,457,453,-30,-2,-0.32341
29369,457,453,-30,-2,-0.322922
29375,458,453,-29,-2,-0.329269
29381,458,453,-29,-2,-0.328781
29387,458,454,-29,-2,-0.322433
29387,459,454,-29,-2,-0.319016
29392,459,454,-29,-2,-0.319016
29396,459,454,-29,-2,-0.322433
29402,459,454,-29,-2,-0.324387
29411,459,454,-29,-2,-0.325363
29417,459,454,-29,-2,-0.325851
29423,459,454,-29,-2,-0.327316
29427,459,454,-29,-2,-0.328293
29433,459,454,-29,-2,-0.328781
29439,460,454,-29,-2,-0.327316
29444,460,454,-29,-2,-0.32634
29450,460,455,-29,-2,-0.32634
29456,460,455,-29,-2,-0.326828
29461,460,455,-29,-2,-0.327316
29467,460,455,-29,-2,-0.326828
29472,460,455,-29,-2,-0.325363
29477,461,455,-29,-2,-0.323898
29483,461,456,-29,-2,-0.32634
29490,461,456,-29,-2,-0.326828
29495,461,456,-29,-2,-0.323898
29501,462,456,-29,-2,-0.322433
29501,462,456,-29,-2,-0.321945
29507,462,457,-29,-2,-0.320969
29512,463,457,-29,-2,-0.32048
29518,463,457,-29,-2,-0.321457
29523,463,457,-29,-2,-0.318527
29528,463,457,-29,-2,-0.317551
29534,464,458,-29,-2,-0.321945
29539,464,458,-29,-2,-0.327316
29545,464,458,-29,-2,-0.328293
29551,465,459,-29,-2,-0.324875
29552,466,459,-29,-2,-0.322922
29557,466,459,-29,-2,-0.324875
29562,466,460,-28,-2,-0.326828
29568,467,460,-28,-2,-0.328293
29573,467,460,-28,-2,-0.331223
29578,467,460,-28,-2,-0.334152
29584,468,461,-28,-2,-0.334152
29589,468,461,-28,-2,-0.333176
29594,469,462,-28,-2,-0.334152
