time,x,y,x_tilt,y_tilt,pressure
21545,941,864,-42,-17,0.0693665
21552,941,864,-42,-16,0.0796204
21558,941,864,-42,-16,0.0888977
21563,941,864,-42,-16,0.097702
21568,941,864,-42,-16,0.105515
21572,941,864,-42,-16,0.11528
21577,941,864,-42,-16,0.123093
21583,941,864,-42,-16,0.135803
21587,941,864,-42,-16,0.146545
21592,941,864,-42,-16,0.148499
21598,941,864,-42,-16,0.162186
21602,941,864,-42,-16,0.174393
21607,941,865,-42,-16,0.1866
21612,941,865,-42,-16,0.202728
21618,941,865,-42,-16,0.217865
21622,941,865,-42,-16,0.233017
21627,941,865,-42,-16,0.248154
21633,941,865,-42,-16,0.264771
21637,941,865,-42,-16,0.282852
21642,940,865,-42,-16,0.299942
21648,940,865,-42,-16,0.317535
21652,940,865,-42,-16,0.335114
21657,940,865,-42,-16,0.353195
21664,940,865,-42,-16,0.369797
21669,940,865,-42,-16,0.385925
21669,940,865,-41,-16,0.399597
21675,940,865,-41,-16,0.412796
21681,940,865,-41,-16,0.423538
21686,940,865,-41,-16,0.433792
21690,940,865,-41,-16,0.442108
21696,940,865,-41,-16,0.449432
21701,940,865,-41,-16,0.455292
21706,940,865,-41,-16,0.460663
21713,940,865,-41,-16,0.465057
21719,940,865,-41,-16,0.467987
21724,940,865,-41,-16,0.47142
21730,940,865,-41,-16,0.473862
21730,940,865,-41,-16,0.476791
21735,940,865,-41,-16,0.480209
21740,940,865,-41,-16,0.482162
21746,939,865,-41,-16,0.488022
21751,939,865,-41,-16,0.491928
21756,939,865,-41,-16,0.49437
21760,939,865,-41,-16,0.496811
21766,939,865,-41,-16,-0.499756
21771,938,865,-41,-16,-0.49585
21776,938,865,-41,-16,-0.492432
21782,938,865,-41,-16,-0.489502
21787,938,865,-41,-16,-0.485596
21792,938,865,-41,-16,-0.483154
21798,937,865,-41,-16,-0.481689
21803,937,865,-41,-16,-0.480225
21808,937,865,-41,-16,-0.478271
21814,937,865,-41,-16,-0.477783
21821,937,865,-41,-16,-0.477783
21826,936,865,-41,-16,-0.476807
21832,936,865,-41,-16,-0.474365
21837,936,865,-41,-16,-0.473877
21842,936,865,-41,-16,-0.473877
21849,935,865,-41,-16,-0.473877
21854,935,865,-41,-16,-0.473389
21859,935,865,-40,-16,-0.474365
21865,935,865,-40,-16,-0.475342
21869,934,865,-40,-16,-0.475342
21874,934,865,-40,-16,-0.475342
21880,934,865,-40,-16,-0.474365
21886,934,865,-40,-16,-0.471924
21886,934,865,-40,-16,-0.466537
21891,934,865,-40,-16,-0.465073
21896,933,865,-40,-16,-0.466537
21902,933,865,-40,-16,-0.465073
21906,932,865,-40,-16,-0.460678
21913,932,865,-40,-16,-0.46312
21918,931,865,-40,-16,-0.461655
21923,931,865,-39,-17,-0.460678
21930,930,866,-39,-17,-0.46019
21935,930,866,-39,-18,-0.460678
21940,929,866,-39,-18,-0.461166
21946,929,866,-39,-18,-0.459213
21947,928,866,-39,-18,-0.46019
21952,928,866,-39,-18,-0.455307
21957,927,866,-39,-18,-0.456772
21961,926,866,-39,-18,-0.461166
21967,925,866,-39,-18,-0.462143
21972,925,866,-39,-18,-0.455307
21977,924,866,-39,-18,-0.45726
21983,923,866,-38,-18,-0.45726
21988,922,866,-38,-18,-0.454819
21993,922,866,-38,-18,-0.456772
22000,921,866,-38,-19,-0.455795
22005,921,865,-38,-19,-0.44603
22009,920,865,-38,-20,-0.44603
22015,920,865,-38,-20,-0.447006
22020,919,865,-38,-20,-0.445053
22025,919,865,-38,-20,-0.4431
22031,918,865,-38,-20,-0.441635
22031,918,865,-38,-20,-0.441147
22036,918,865,-38,-20,-0.44017
22042,918,865,-38,-20,-0.438217
22048,917,865,-37,-20,-0.436737
22052,917,865,-37,-20,-0.434784
22057,917,865,-37,-20,-0.433807
22063,917,865,-37,-20,-0.434296
22069,917,865,-37,-20,-0.434784
22073,917,865,-37,-20,-0.433319
22080,917,865,-37,-20,-0.431854
22085,916,865,-37,-20,-0.429901
22090,916,865,-37,-20,-0.424042
22097,916,865,-37,-20,-0.419159
22097,915,865,-37,-20,-0.416229
22103,914,865,-37,-20,-0.416718
22109,914,865,-37,-20,-0.416718
22115,913,865,-37,-20,-0.411835
22120,912,865,-37,-20,-0.4133
22124,911,866,-37,-20,-0.4133
22130,911,866,-37,-20,-0.411346
22134,910,866,-37,-20,-0.408417
22139,909,866,-37,-20,-0.410858
22144,909,865,-37,-20,-0.405472
22149,908,865,-36,-20,-0.404007
22154,907,866,-36,-20,-0.402054
22159,906,866,-36,-20,-0.402542
22164,905,866,-36,-20,-0.40744
22169,905,866,-36,-20,-0.40303
22175,904,866,-36,-20,-0.399612
22180,903,865,-36,-20,-0.398148
22185,902,865,-36,-20,-0.395706
22190,902,865,-36,-20,-0.399124
22196,901,865,-36,-20,-0.393265
22200,900,865,-35,-20,-0.390335
22205,899,865,-35,-20,-0.390823
22212,899,865,-35,-20,-0.387894
22212,898,865,-35,-20,-0.387894
22219,897,865,-35,-20,-0.385452
22225,897,864,-35,-20,-0.382034
22232,896,864,-35,-20,-0.385941
22239,896,864,-35,-20,-0.384964
22239,895,864,-35,-20,-0.380569
22245,895,864,-35,-20,-0.376663
22249,895,864,-35,-20,-0.380569
22254,894,864,-35,-20,-0.382523
22259,894,864,-35,-20,-0.381058
22266,893,864,-35,-20,-0.380569
22271,893,864,-35,-20,-0.378128
22276,892,863,-35,-20,-0.376175
22282,892,863,-35,-20,-0.376663
22286,891,863,-35,-20,-0.379105
22291,891,863,-35,-20,-0.381546
22297,890,863,-35,-20,-0.379105
22301,890,862,-35,-20,-0.374207
22306,889,862,-36,-20,-0.378616
22312,889,862,-36,-20,-0.381058
22317,888,862,-37,-20,-0.380081
22321,888,862,-37,-20,-0.383499
22326,888,862,-37,-20,-0.384964
22332,887,861,-37,-20,-0.385452
22336,887,861,-37,-20,-0.383987
22341,887,861,-37,-20,-0.381546
22358,887,861,-37,-19,-0.380569
22378,887,861,-37,-19,-0.381546
22393,887,861,-37,-19,-0.382034
22419,887,861,-37,-19,-0.382034
22434,887,861,-37,-19,-0.380081
22444,887,861,-37,-19,-0.37764
22451,887,861,-37,-19,-0.373718
22457,887,861,-37,-19,-0.366882
22461,886,861,-37,-19,-0.366394
22466,886,861,-37,-19,-0.367859
22472,886,861,-37,-19,-0.363464
22476,885,861,-37,-19,-0.363953
22481,885,861,-37,-19,-0.369812
22487,885,861,-37,-19,-0.369324
22492,884,860,-37,-19,-0.355164
22496,884,860,-37,-19,-0.358093
22502,883,860,-37,-19,-0.357605
22507,882,860,-37,-19,-0.356628
22512,881,860,-37,-19,-0.349304
22519,880,859,-37,-19,-0.354675
22519,880,859,-37,-19,-0.352234
22525,879,859,-37,-19,-0.352722
22530,878,859,-37,-19,-0.354675
22536,877,858,-37,-19,-0.347839
22541,876,858,-37,-19,-0.349792
22546,875,858,-37,-19,-0.352234
22551,874,858,-37,-19,-0.35907
22556,873,857,-37,-19,-0.354187
22561,873,857,-37,-19,-0.354675
22565,872,856,-37,-19,-0.353699
22571,871,856,-37,-19,-0.352722
22576,870,856,-37,-19,-0.351746
22582,870,855,-37,-19,-0.354675
22588,869,855,-37,-19,-0.351746
22593,869,855,-37,-19,-0.349304
22597,868,855,-37,-19,-0.348328
