Gait Up - Physilog data export
Created on: 2020-07-20 10:39:04
Total data points: 10810

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
66.82813,-9.03320,3.41797,-2.13623,0.08194,0.85330,0.32767,,0.14412,-0.56736,0.22518,0.77886,
66.83594,-7.53784,3.17383,-2.31934,0.08709,0.85649,0.33034,,0.14387,-0.56761,0.22475,0.77885,
66.84375,-6.98853,2.86865,-2.44141,0.09101,0.86409,0.32742,,0.14365,-0.56784,0.22435,0.77884,
66.85156,-5.67627,2.56348,-2.50244,0.09739,0.86531,0.32596,,0.14350,-0.56804,0.22401,0.77882,
66.85938,-4.57764,1.49536,-2.44141,0.09494,0.87610,0.32815,,0.14339,-0.56817,0.22372,0.77883,
66.86719,-4.36401,0.88501,-2.31934,0.09543,0.88248,0.32791,,0.14330,-0.56826,0.22345,0.77885,
66.87500,-4.33350,-0.09155,-1.95313,0.08733,0.88640,0.33156,,0.14321,-0.56830,0.22318,0.77892,
66.88281,-4.76074,-0.91553,-1.70898,0.07973,0.88763,0.33180,,0.14310,-0.56829,0.22288,0.77903,
66.89063,-4.66919,-1.19019,-1.67847,0.07679,0.88469,0.32815,,0.14299,-0.56827,0.22260,0.77915,
66.89844,-3.81470,-2.19727,-1.64795,0.07507,0.87978,0.32499,,0.14293,-0.56819,0.22234,0.77929,
66.90625,-2.19727,-2.92969,-1.61743,0.07335,0.87929,0.32693,,0.14295,-0.56805,0.22217,0.77944,
66.91406,-1.40381,-3.35693,-1.64795,0.07262,0.87905,0.33010,,0.14300,-0.56788,0.22204,0.77960,
66.92188,-0.21362,-4.11987,-1.77002,0.07360,0.87929,0.32840,,0.14311,-0.56766,0.22195,0.77976,
66.92969,0.24414,-4.94385,-2.10571,0.07851,0.87561,0.33059,,0.14328,-0.56739,0.22187,0.77994,
66.93750,0.33569,-5.37109,-2.34985,0.07875,0.87316,0.33399,,0.14347,-0.56711,0.22178,0.78014,
66.94531,0.21362,-5.70679,-2.47192,0.07507,0.87120,0.33619,,0.14366,-0.56681,0.22168,0.78035,
66.95313,0.45776,-6.25610,-2.53296,0.07581,0.86580,0.33716,,0.14388,-0.56648,0.22158,0.78058,
66.96094,1.37329,-6.89697,-2.56348,0.07507,0.85551,0.33740,,0.14414,-0.56611,0.22152,0.78082,
66.96875,2.13623,-7.14111,-2.44141,0.07434,0.85967,0.33619,,0.14443,-0.56571,0.22150,0.78105,
66.97656,3.66211,-7.65991,-2.38037,0.07041,0.85992,0.34300,,0.14478,-0.56528,0.22156,0.78129,
66.98438,4.88281,-8.08716,-2.28882,0.07164,0.86531,0.34081,,0.14519,-0.56480,0.22169,0.78152,
66.99219,5.49316,-8.02612,-2.16675,0.07237,0.86850,0.34422,,0.14560,-0.56432,0.22186,0.78174,
67.00000,6.40869,-8.23975,-1.98364,0.07507,0.87316,0.34300,,0.14605,-0.56382,0.22208,0.78196,
67.00781,7.29370,-8.63647,-1.83105,0.07556,0.86728,0.33984,,0.14653,-0.56328,0.22234,0.78218,
67.01563,7.93457,-8.81958,-1.70898,0.07483,0.86997,0.34178,,0.14702,-0.56273,0.22265,0.78240,
67.02344,9.58252,-9.42993,-1.64795,0.07581,0.86973,0.34178,,0.14759,-0.56212,0.22304,0.78262,
67.03125,11.29150,-10.10132,-1.46484,0.07041,0.86703,0.34641,,0.14823,-0.56146,0.22352,0.78284,
67.03906,12.26807,-10.55908,-1.22070,0.06673,0.87022,0.34811,,0.14889,-0.56076,0.22405,0.78306,
67.04688,12.26807,-10.92529,-1.09863,0.06526,0.87144,0.34592,,0.14956,-0.56004,0.22459,0.78329,
67.05469,12.05444,-11.56616,-0.85449,0.06428,0.86580,0.35079,,0.15021,-0.55928,0.22512,0.78356,
67.06250,12.35962,-12.17651,-0.48828,0.06403,0.86556,0.35688,,0.15086,-0.55848,0.22567,0.78385,
67.07031,12.78687,-12.48169,-0.42725,0.06403,0.86384,0.35809,,0.15153,-0.55766,0.22624,0.78414,
67.07813,14.34326,-13.09204,-0.06104,0.06281,0.86850,0.36515,,0.15225,-0.55678,0.22690,0.78443,
67.08594,15.96069,-13.42773,0.27466,0.06011,0.87610,0.36978,,0.15302,-0.55586,0.22766,0.78472,
67.09375,16.51001,-13.61084,0.51880,0.05864,0.87782,0.37197,,0.15380,-0.55491,0.22846,0.78500,
67.10156,17.08984,-13.85498,0.76294,0.06183,0.87782,0.37854,,0.15459,-0.55395,0.22929,0.78528,
67.10938,17.45605,-13.91602,0.79346,0.06624,0.87144,0.38439,,0.15539,-0.55297,0.23014,0.78556,
67.11719,17.63916,-13.73291,0.70190,0.06919,0.86728,0.38633,,0.15621,-0.55201,0.23100,0.78583,
67.12500,18.00537,-13.54980,1.00708,0.08120,0.85722,0.39096,,0.15701,-0.55104,0.23189,0.78608,
67.13281,20.20264,-12.42065,1.49536,0.10033,0.85747,0.38049,,0.15786,-0.55010,0.23293,0.78627,
67.14063,21.60645,-10.86426,2.16675,0.09543,0.85207,0.38560,,0.15870,-0.54921,0.23409,0.78637,
67.14844,22.15576,-10.92529,1.92261,0.10009,0.86826,0.38219,,0.15957,-0.54832,0.23526,0.78647,
67.15625,22.79663,-10.68115,2.01416,0.10622,0.88567,0.39047,,0.16045,-0.54744,0.23648,0.78654,
67.16406,22.64404,-9.09424,2.56348,0.10033,0.89866,0.38585,,0.16127,-0.54662,0.23773,0.78656,
67.17188,22.88818,-7.87354,2.59399,0.09347,0.90970,0.38804,,0.16208,-0.54587,0.23900,0.78653,
67.17969,23.74268,-6.95801,2.80762,0.08586,0.91951,0.38219,,0.16290,-0.54516,0.24033,0.78645,
67.18750,26.12305,-5.70679,2.92969,0.07360,0.92049,0.38706,,0.16377,-0.54448,0.24182,0.78629,
67.19531,27.46582,-5.92041,2.50244,0.06796,0.92417,0.38731,,0.16473,-0.54377,0.24335,0.78610,
67.20313,29.44946,-6.04248,2.16675,0.06354,0.93030,0.37879,,0.16577,-0.54305,0.24498,0.78588,
67.21094,30.48706,-7.72095,2.07520,0.07998,0.94084,0.37075,,0.16688,-0.54222,0.24664,0.78570,
67.21875,29.47998,-7.29370,1.77002,0.08022,0.95457,0.35493,,0.16797,-0.54143,0.24824,0.78551,
67.22656,23.19336,-5.40161,0.88501,0.06968,0.97836,0.36126,,0.16883,-0.54082,0.24949,0.78534,
67.23438,12.93945,-4.88281,0.18311,0.06428,0.95752,0.36102,,0.16935,-0.54037,0.25017,0.78532,
67.24219,7.93457,-4.08936,-0.67139,0.06183,0.94869,0.35177,,0.16971,-0.54004,0.25056,0.78535,
67.25000,1.55640,-2.65503,-1.67847,0.04662,0.93299,0.36588,,0.16988,-0.53988,0.25058,0.78542,
67.25781,0.48828,-4.76074,-3.05176,0.09371,0.89082,0.37733,,0.17011,-0.53963,0.25048,0.78557,
67.26563,5.64575,-4.51660,-4.18091,0.07335,0.88199,0.34178,,0.17059,-0.53936,0.25061,0.78561,
67.27344,8.14819,0.94604,-4.63867,0.00468,0.88935,0.40362,,0.17109,-0.53936,0.25092,0.78540,
67.28125,11.47461,-10.10132,-5.92041,0.15969,0.90234,0.30795,,0.17197,-0.53876,0.25123,0.78552,
67.28906,13.82446,4.63867,-4.42505,0.02553,0.90136,0.36540,,0.17260,-0.53889,0.25190,0.78508,
67.29688,13.61084,-1.12915,-6.43921,0.05251,0.92637,0.34154,,0.17343,-0.53874,0.25242,0.78483,
67.30469,11.01685,-4.45557,-5.88989,0.06452,0.93201,0.36540,,0.17420,-0.53844,0.25277,0.78476,
67.31250,8.60596,-4.21143,-4.73022,0.08635,0.92809,0.34276,,0.17481,-0.53816,0.25305,0.78473,
67.32031,6.59180,-2.68555,-4.85229,0.11579,0.90651,0.30551,,0.17532,-0.53799,0.25322,0.78467,
67.32813,3.14331,0.00000,-7.20215,0.11382,0.89572,0.30941,,0.17579,-0.53804,0.25316,0.78455,
67.33594,-0.45776,-2.65503,-9.46045,0.09224,0.92122,0.33424,,0.17630,-0.53804,0.25280,0.78456,
67.34375,-1.58691,-5.03540,-9.76563,0.07581,0.91877,0.33229,,0.17682,-0.53792,0.25233,0.78467,
67.35156,-2.68555,-8.11768,-9.76563,0.07066,0.91975,0.27435,,0.17735,-0.53766,0.25177,0.78491,
67.35938,-1.31226,-6.53076,-8.85010,0.06109,0.93765,0.26754,,0.17785,-0.53745,0.25133,0.78508,
67.36719,-1.09863,-6.62231,-7.99561,0.04270,0.97346,0.29724,,0.17832,-0.53721,0.25094,0.78526,
67.37500,-2.31934,-8.17871,-7.99561,0.04122,0.98008,0.30624,,0.17877,-0.53690,0.25046,0.78552,
67.38281,-7.65991,-10.43701,-6.98853,0.03951,0.96463,0.30892,,0.17901,-0.53652,0.24971,0.78597,
67.39063,-15.13672,-11.32202,-5.03540,0.07017,0.92785,0.28555,,0.17888,-0.53616,0.24861,0.78659,
67.39844,-17.27295,-9.49097,-4.24194,0.06256,0.90504,0.30697,,0.17861,-0.53590,0.24745,0.78720,
67.40625,-17.94434,-10.62012,-3.69263,0.05864,0.85403,0.33132,,0.17830,-0.53558,0.24626,0.78786,
67.41406,-12.75635,-12.02393,-3.78418,0.07654,0.83295,0.33984,,0.17821,-0.53512,0.24532,0.78848,
67.42188,-8.54492,-11.93237,-3.81470,0.07311,0.83442,0.34641,,0.17828,-0.53461,0.24461,0.78903,
67.42969,0.30518,-12.51221,-3.87573,0.07532,0.85207,0.34081,,0.17868,-0.53397,0.24437,0.78945,
67.43750,5.61523,-11.71875,-3.78418,0.06820,0.87807,0.33838,,0.17925,-0.53330,0.24442,0.78976,
67.44531,6.10352,-11.32202,-3.75366,0.07115,0.89131,0.34373,,0.17983,-0.53264,0.24451,0.79004,
67.45313,3.32642,-11.35254,-4.24194,0.07311,0.89548,0.33497,,0.18034,-0.53203,0.24443,0.79036,
67.46094,-1.31226,-11.65771,-4.73022,0.07752,0.88886,0.32474,,0.18071,-0.53146,0.24408,0.79077,
67.46875,-3.96729,-11.65771,-5.18799,0.07949,0.87708,0.32085,,0.18101,-0.53094,0.24357,0.79121,
67.47656,-3.96729,-11.99341,-5.46265,0.07434,0.87733,0.31890,,0.18133,-0.53040,0.24305,0.79166,
67.48438,-1.64795,-13.33618,-5.95093,0.07164,0.88420,0.31282,,0.18179,-0.52977,0.24262,0.79211,
67.49219,2.10571,-14.16016,-6.07300,0.07041,0.90136,0.31282,,0.18239,-0.52905,0.24237,0.79253,
67.50000,3.20435,-14.52637,-6.04248,0.06305,0.91607,0.31087,,0.18304,-0.52829,0.24218,0.79294,
