Gait Up - Physilog data export
Created on: 2020-07-20 10:37:32
Total data points: 10837

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
66.99219,0.00000,-2.38037,-1.86157,-0.12924,-0.40075,0.91045,,-0.63187,-0.26959,-0.37661,-0.62148,
67.00000,-0.06104,-2.41089,-1.95313,-0.13978,-0.39781,0.91240,,-0.63203,-0.26961,-0.37651,-0.62136,
67.00781,-0.24414,-2.44141,-1.89209,-0.13586,-0.40762,0.91386,,-0.63219,-0.26963,-0.37641,-0.62125,
67.01563,-0.27466,-2.41089,-2.04468,-0.14077,-0.40492,0.90850,,-0.63236,-0.26964,-0.37630,-0.62114,
67.02344,-0.36621,-2.44141,-1.98364,-0.13439,-0.40517,0.90704,,-0.63253,-0.26964,-0.37620,-0.62103,
67.03125,-0.48828,-2.50244,-1.92261,-0.13610,-0.40983,0.90923,,-0.63270,-0.26965,-0.37608,-0.62092,
67.03906,-0.36621,-2.50244,-2.04468,-0.13709,-0.40713,0.91264,,-0.63287,-0.26966,-0.37597,-0.62081,
67.04688,-0.48828,-2.74658,-2.01416,-0.13046,-0.40811,0.91215,,-0.63305,-0.26968,-0.37584,-0.62069,
67.05469,-0.54932,-2.56348,-1.98364,-0.13243,-0.40713,0.91288,,-0.63323,-0.26968,-0.37572,-0.62059,
67.06250,-0.67139,-2.50244,-1.86157,-0.13390,-0.40149,0.92676,,-0.63340,-0.26969,-0.37559,-0.62049,
67.07031,-0.97656,-2.68555,-1.80054,-0.13120,-0.40590,0.91166,,-0.63358,-0.26968,-0.37544,-0.62040,
67.07813,-1.12915,-2.56348,-1.77002,-0.13463,-0.40934,0.91459,,-0.63376,-0.26967,-0.37529,-0.62031,
67.08594,-1.40381,-2.47192,-1.58691,-0.13144,-0.40738,0.90777,,-0.63393,-0.26964,-0.37513,-0.62025,
67.09375,-1.40381,-2.22778,-1.61743,-0.13610,-0.40762,0.91093,,-0.63410,-0.26961,-0.37498,-0.62018,
67.10156,-1.46484,-2.59399,-1.40381,-0.13807,-0.41449,0.90485,,-0.63426,-0.26959,-0.37480,-0.62012,
67.10938,-1.25122,-2.47192,-1.46484,-0.13709,-0.41669,0.90387,,-0.63443,-0.26958,-0.37465,-0.62006,
67.11719,-1.00708,-2.56348,-1.34277,-0.13414,-0.41302,0.90485,,-0.63458,-0.26958,-0.37449,-0.61999,
67.12500,-0.91553,-2.68555,-1.31226,-0.13512,-0.41645,0.90534,,-0.63474,-0.26959,-0.37434,-0.61992,
67.13281,-0.54932,-2.62451,-1.25122,-0.13635,-0.42037,0.90217,,-0.63489,-0.26962,-0.37420,-0.61984,
67.14063,-0.39673,-2.83813,-1.25122,-0.13095,-0.41424,0.89998,,-0.63504,-0.26966,-0.37406,-0.61975,
67.14844,-0.09155,-2.59399,-1.15967,-0.14126,-0.41915,0.90412,,-0.63517,-0.26971,-0.37394,-0.61967,
67.15625,0.30518,-2.80762,-1.19019,-0.14003,-0.41743,0.90485,,-0.63530,-0.26978,-0.37383,-0.61957,
67.16406,0.39673,-2.80762,-1.28174,-0.14469,-0.41228,0.89998,,-0.63543,-0.26986,-0.37372,-0.61946,
67.17188,0.73242,-2.96021,-1.43433,-0.14469,-0.41498,0.90582,,-0.63557,-0.26995,-0.37362,-0.61934,
67.17969,0.94604,-3.08228,-1.37329,-0.13782,-0.41449,0.90436,,-0.63571,-0.27006,-0.37353,-0.61921,
67.18750,1.00708,-3.11279,-1.49536,-0.14027,-0.41105,0.90387,,-0.63585,-0.27017,-0.37344,-0.61907,
67.19531,0.94604,-3.11279,-1.55640,-0.14248,-0.41547,0.90509,,-0.63599,-0.27027,-0.37335,-0.61893,
67.20313,1.03760,-3.41797,-1.64795,-0.14027,-0.41130,0.90923,,-0.63614,-0.27039,-0.37325,-0.61878,
67.21094,0.91553,-3.35693,-1.70898,-0.13561,-0.41571,0.91215,,-0.63630,-0.27050,-0.37315,-0.61863,
67.21875,0.94604,-3.41797,-1.61743,-0.13635,-0.42013,0.90680,,-0.63645,-0.27062,-0.37305,-0.61849,
67.22656,0.85449,-3.57056,-1.61743,-0.13218,-0.41988,0.90534,,-0.63661,-0.27073,-0.37293,-0.61834,
67.23438,1.03760,-3.35693,-1.58691,-0.14150,-0.41841,0.90582,,-0.63676,-0.27085,-0.37284,-0.61819,
67.24219,1.06812,-3.47900,-1.49536,-0.13905,-0.42062,0.90485,,-0.63691,-0.27098,-0.37273,-0.61805,
67.25000,1.34277,-3.50952,-1.40381,-0.14150,-0.41841,0.90485,,-0.63705,-0.27112,-0.37264,-0.61790,
67.25781,1.34277,-3.66211,-1.49536,-0.13856,-0.41939,0.90412,,-0.63720,-0.27127,-0.37254,-0.61774,
67.26563,1.67847,-3.54004,-1.40381,-0.13488,-0.42209,0.90461,,-0.63733,-0.27143,-0.37246,-0.61759,
67.27344,2.04468,-3.63159,-1.46484,-0.13831,-0.41988,0.90412,,-0.63746,-0.27160,-0.37239,-0.61741,
67.28125,2.04468,-3.72314,-1.37329,-0.13929,-0.41645,0.90485,,-0.63759,-0.27178,-0.37231,-0.61724,
67.28906,2.38037,-3.72314,-1.55640,-0.14027,-0.41964,0.90436,,-0.63773,-0.27198,-0.37226,-0.61706,
67.29688,2.62451,-3.72314,-1.64795,-0.13880,-0.41694,0.90241,,-0.63786,-0.27218,-0.37221,-0.61686,
67.30469,2.77710,-3.72314,-1.55640,-0.14297,-0.42062,0.90363,,-0.63798,-0.27239,-0.37217,-0.61666,
67.31250,2.89917,-3.87573,-1.67847,-0.13954,-0.41571,0.90509,,-0.63811,-0.27260,-0.37213,-0.61646,
67.32031,2.96021,-3.87573,-1.61743,-0.13316,-0.41547,0.90387,,-0.63824,-0.27283,-0.37209,-0.61625,
67.32813,3.11279,-3.84521,-1.55640,-0.13782,-0.41596,0.90558,,-0.63836,-0.27306,-0.37206,-0.61604,
67.33594,3.29590,-3.81470,-1.49536,-0.14027,-0.41718,0.90290,,-0.63847,-0.27329,-0.37203,-0.61583,
67.34375,3.35693,-3.75366,-1.49536,-0.14150,-0.41547,0.90241,,-0.63859,-0.27353,-0.37202,-0.61562,
67.35156,3.60107,-3.75366,-1.55640,-0.14175,-0.41400,0.90680,,-0.63870,-0.27378,-0.37201,-0.61541,
67.35938,3.23486,-3.72314,-1.55640,-0.13635,-0.41326,0.90753,,-0.63881,-0.27401,-0.37199,-0.61520,
67.36719,3.17383,-3.75366,-1.52588,-0.13512,-0.41498,0.90753,,-0.63893,-0.27424,-0.37196,-0.61499,
67.37500,2.77710,-3.54004,-1.52588,-0.12507,-0.41179,0.90728,,-0.63904,-0.27444,-0.37193,-0.61480,
67.38281,2.41089,-3.11279,-1.34277,-0.13218,-0.41154,0.91166,,-0.63915,-0.27461,-0.37189,-0.61463,
67.39063,2.34985,-3.14331,-1.28174,-0.13414,-0.41032,0.90996,,-0.63926,-0.27479,-0.37185,-0.61447,
67.39844,2.07520,-2.92969,-1.28174,-0.13856,-0.41032,0.90972,,-0.63936,-0.27494,-0.37181,-0.61432,
67.40625,1.77002,-2.89917,-1.19019,-0.13341,-0.41179,0.90607,,-0.63947,-0.27508,-0.37176,-0.61418,
67.41406,1.64795,-2.77710,-1.09863,-0.13709,-0.41032,0.90753,,-0.63957,-0.27521,-0.37170,-0.61404,
67.42188,1.34277,-2.77710,-1.06812,-0.14027,-0.41105,0.90728,,-0.63967,-0.27533,-0.37163,-0.61392,
67.42969,1.09863,-2.77710,-0.91553,-0.14175,-0.41326,0.90874,,-0.63978,-0.27544,-0.37155,-0.61381,
67.43750,1.15967,-2.86865,-1.00708,-0.14420,-0.41351,0.90339,,-0.63989,-0.27556,-0.37147,-0.61370,
67.44531,1.22070,-3.02124,-1.22070,-0.14371,-0.41988,0.90071,,-0.64001,-0.27568,-0.37139,-0.61357,
67.45313,1.37329,-2.99072,-1.25122,-0.14420,-0.41547,0.90509,,-0.64013,-0.27580,-0.37131,-0.61343,
67.46094,1.49536,-3.23486,-1.28174,-0.14371,-0.41571,0.90436,,-0.64025,-0.27594,-0.37123,-0.61329,
67.46875,1.67847,-3.44849,-1.43433,-0.14616,-0.41767,0.90168,,-0.64038,-0.27610,-0.37116,-0.61313,
67.47656,2.10571,-3.66211,-1.52588,-0.14126,-0.41866,0.90412,,-0.64051,-0.27627,-0.37109,-0.61295,
67.48438,2.07520,-3.78418,-1.52588,-0.13929,-0.41866,0.90461,,-0.64065,-0.27646,-0.37101,-0.61277,
67.49219,2.28882,-3.81470,-1.43433,-0.13905,-0.41522,0.90339,,-0.64078,-0.27665,-0.37095,-0.61259,
67.50000,2.22778,-3.78418,-1.55640,-0.14175,-0.41302,0.90996,,-0.64092,-0.27684,-0.37088,-0.61240,
67.50781,2.22778,-3.93677,-1.58691,-0.14027,-0.41105,0.90485,,-0.64105,-0.27703,-0.37081,-0.61221,
67.51563,1.98364,-3.87573,-1.58691,-0.13856,-0.41277,0.90461,,-0.64120,-0.27721,-0.37072,-0.61203,
67.52344,2.01416,-3.90625,-1.55640,-0.13610,-0.41620,0.90753,,-0.64134,-0.27739,-0.37064,-0.61185,
67.53125,1.89209,-3.69263,-1.49536,-0.13512,-0.41596,0.90728,,-0.64148,-0.27757,-0.37056,-0.61168,
67.53906,1.67847,-3.63159,-1.31226,-0.13684,-0.41866,0.90826,,-0.64161,-0.27773,-0.37048,-0.61152,
67.54688,1.64795,-3.44849,-1.03760,-0.12752,-0.41915,0.90412,,-0.64172,-0.27789,-0.37039,-0.61138,
67.55469,1.77002,-3.41797,-1.09863,-0.13537,-0.42331,0.90753,,-0.64184,-0.27805,-0.37031,-0.61123,
67.56250,1.92261,-3.41797,-0.79346,-0.14175,-0.41669,0.90387,,-0.64193,-0.27823,-0.37023,-0.61109,
67.57031,2.13623,-3.41797,-0.79346,-0.14322,-0.42160,0.90387,,-0.64203,-0.27842,-0.37016,-0.61095,
67.57813,2.31934,-3.57056,-0.76294,-0.13929,-0.42184,0.90266,,-0.64212,-0.27862,-0.37009,-0.61080,
67.58594,2.71606,-3.47900,-0.73242,-0.14469,-0.41743,0.90436,,-0.64221,-0.27884,-0.37004,-0.61065,
67.59375,2.92969,-3.84521,-0.82397,-0.14273,-0.41424,0.90168,,-0.64230,-0.27908,-0.36999,-0.61047,
67.60156,3.02124,-3.81470,-0.94604,-0.14616,-0.41449,0.89803,,-0.64239,-0.27932,-0.36994,-0.61029,
67.60938,3.26538,-4.02832,-1.22070,-0.15254,-0.40811,0.90631,,-0.64250,-0.27957,-0.36990,-0.61009,
