Gait Up - Physilog data export
Created on: 1990-06-16 17:54:44
Total data points: 10825

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
66.91406,-0.48828,5.98145,-0.12207,0.16138,-0.57764,0.83008,,-0.76613,-0.39597,-0.29316,-0.41269,
66.92188,0.33569,5.85938,-0.36621,0.16479,-0.57520,0.83911,,-0.76603,-0.39578,-0.29346,-0.41283,
66.92969,0.12207,5.73730,-0.30518,0.16089,-0.57568,0.84448,,-0.76594,-0.39559,-0.29375,-0.41298,
66.93750,0.21362,5.49316,-0.39673,0.17310,-0.57104,0.82983,,-0.76586,-0.39542,-0.29403,-0.41311,
66.94531,0.73242,6.34766,0.03052,0.16992,-0.57153,0.83765,,-0.76573,-0.39525,-0.29435,-0.41328,
66.95313,0.67139,6.50024,0.18311,0.17065,-0.57373,0.84302,,-0.76559,-0.39507,-0.29468,-0.41346,
66.96094,0.48828,6.56128,0.24414,0.16187,-0.57861,0.84009,,-0.76546,-0.39489,-0.29501,-0.41365,
66.96875,1.31226,6.59180,0.36621,0.18359,-0.56274,0.83862,,-0.76530,-0.39475,-0.29535,-0.41384,
66.97656,1.03760,7.44629,1.00708,0.16797,-0.56787,0.85571,,-0.76511,-0.39459,-0.29572,-0.41408,
66.98438,0.39673,7.26318,0.97656,0.16626,-0.57007,0.84741,,-0.76494,-0.39440,-0.29605,-0.41433,
66.99219,0.12207,7.44629,0.97656,0.16357,-0.58179,0.82935,,-0.76478,-0.39418,-0.29640,-0.41459,
67.00000,1.58691,7.56836,1.06812,0.16431,-0.57153,0.83472,,-0.76457,-0.39405,-0.29678,-0.41483,
67.00781,1.67847,7.90405,1.22070,0.16064,-0.56519,0.85059,,-0.76435,-0.39391,-0.29718,-0.41508,
67.01563,0.45776,7.78198,1.34277,0.14893,-0.56567,0.84595,,-0.76416,-0.39371,-0.29754,-0.41536,
67.02344,0.21362,7.41577,1.15967,0.15259,-0.58081,0.83130,,-0.76399,-0.39351,-0.29788,-0.41563,
67.03125,0.64087,7.50732,1.09863,0.15088,-0.58203,0.83447,,-0.76380,-0.39332,-0.29823,-0.41588,
67.03906,1.03760,7.53784,0.88501,0.15039,-0.57861,0.84375,,-0.76362,-0.39315,-0.29861,-0.41612,
67.04688,0.91553,7.26318,0.54932,0.15454,-0.57617,0.84424,,-0.76345,-0.39297,-0.29897,-0.41634,
67.05469,0.76294,7.11060,0.48828,0.15210,-0.57593,0.84766,,-0.76329,-0.39279,-0.29932,-0.41655,
67.06250,0.61035,7.04956,0.39673,0.15112,-0.56787,0.84155,,-0.76313,-0.39260,-0.29967,-0.41676,
67.07031,0.64087,6.83594,0.36621,0.15381,-0.56494,0.84961,,-0.76298,-0.39242,-0.30001,-0.41696,
67.07813,-0.18311,6.62231,0.30518,0.14868,-0.56982,0.84839,,-0.76286,-0.39220,-0.30032,-0.41717,
67.08594,-0.57983,6.22559,0.03052,0.15161,-0.57642,0.83521,,-0.76277,-0.39197,-0.30060,-0.41736,
67.09375,-0.24414,6.31714,0.06104,0.15576,-0.57690,0.83911,,-0.76266,-0.39175,-0.30089,-0.41755,
67.10156,-0.15259,6.59180,0.03052,0.14404,-0.57642,0.84961,,-0.76255,-0.39152,-0.30121,-0.41774,
67.10938,-0.79346,5.92041,-0.27466,0.14917,-0.58813,0.83447,,-0.76247,-0.39128,-0.30148,-0.41791,
67.11719,-0.33569,5.88989,-0.39673,0.15137,-0.58521,0.83057,,-0.76239,-0.39106,-0.30176,-0.41806,
67.12500,0.73242,6.28662,-0.48828,0.15479,-0.56909,0.84497,,-0.76227,-0.39088,-0.30209,-0.41820,
67.13281,-0.06104,6.01196,-0.45776,0.14844,-0.56348,0.85718,,-0.76218,-0.39067,-0.30239,-0.41835,
67.14063,-0.76294,5.64575,-0.51880,0.15186,-0.56445,0.84277,,-0.76212,-0.39043,-0.30265,-0.41850,
67.14844,-1.15967,5.55420,-0.33569,0.15454,-0.57568,0.83789,,-0.76206,-0.39017,-0.30289,-0.41867,
67.15625,-0.82397,5.92041,-0.21362,0.15723,-0.57275,0.84009,,-0.76199,-0.38993,-0.30316,-0.41884,
67.16406,-0.61035,5.98145,-0.12207,0.15308,-0.56934,0.84668,,-0.76190,-0.38970,-0.30343,-0.41902,
67.17188,-1.46484,5.67627,0.06104,0.14722,-0.56641,0.84741,,-0.76184,-0.38943,-0.30365,-0.41921,
67.17969,-2.01416,5.52368,0.06104,0.15308,-0.57568,0.84326,,-0.76179,-0.38914,-0.30386,-0.41941,
67.18750,-1.98364,5.70679,0.15259,0.14941,-0.57983,0.84131,,-0.76174,-0.38885,-0.30407,-0.41963,
67.19531,-2.04468,5.40161,-0.06104,0.14795,-0.57617,0.83887,,-0.76171,-0.38856,-0.30427,-0.41982,
67.20313,-1.70898,5.34058,-0.03052,0.14673,-0.57471,0.83984,,-0.76166,-0.38829,-0.30447,-0.42001,
67.21094,-1.70898,5.09644,0.12207,0.14771,-0.57813,0.84570,,-0.76161,-0.38803,-0.30466,-0.42019,
67.21875,-2.44141,5.34058,0.21362,0.14795,-0.59106,0.84058,,-0.76158,-0.38772,-0.30483,-0.42041,
67.22656,-2.31934,4.88281,-0.12207,0.14282,-0.59155,0.82739,,-0.76156,-0.38743,-0.30500,-0.42059,
67.23438,-1.61743,4.79126,-0.33569,0.15283,-0.58789,0.83350,,-0.76153,-0.38718,-0.30519,-0.42074,
67.24219,-1.15967,5.00488,-0.45776,0.14478,-0.57861,0.84814,,-0.76149,-0.38694,-0.30540,-0.42089,
67.25000,-1.37329,4.76074,-0.57983,0.14673,-0.57568,0.85303,,-0.76146,-0.38669,-0.30560,-0.42102,
67.25781,-2.71606,4.63867,-0.70190,0.14014,-0.58789,0.84204,,-0.76147,-0.38637,-0.30575,-0.42118,
67.26563,-2.38037,4.30298,-1.03760,0.13989,-0.59546,0.82861,,-0.76150,-0.38607,-0.30591,-0.42130,
67.27344,-1.64795,4.24194,-1.09863,0.13574,-0.59253,0.83203,,-0.76150,-0.38581,-0.30609,-0.42139,
67.28125,-1.37329,4.18091,-1.52588,0.13208,-0.58423,0.84399,,-0.76151,-0.38556,-0.30628,-0.42147,
67.28906,-1.80054,3.14331,-2.07520,0.14185,-0.58740,0.83569,,-0.76157,-0.38531,-0.30642,-0.42149,
67.29688,-1.98364,3.29590,-2.34985,0.14063,-0.59302,0.83301,,-0.76164,-0.38503,-0.30658,-0.42151,
67.30469,-1.28174,3.72314,-2.71606,0.13623,-0.59521,0.83350,,-0.76169,-0.38477,-0.30678,-0.42150,
67.31250,-0.94604,3.11279,-3.41797,0.14990,-0.58203,0.84277,,-0.76177,-0.38453,-0.30698,-0.42143,
67.32031,-1.19019,3.08228,-3.38745,0.14893,-0.58350,0.84399,,-0.76185,-0.38428,-0.30717,-0.42138,
67.32813,-1.46484,2.99072,-3.57056,0.14941,-0.57739,0.84009,,-0.76195,-0.38402,-0.30735,-0.42131,
67.33594,-1.52588,3.54004,-3.23486,0.15625,-0.57568,0.84277,,-0.76202,-0.38374,-0.30755,-0.42128,
67.34375,-1.64795,3.72314,-3.11279,0.14526,-0.57788,0.84399,,-0.76210,-0.38346,-0.30775,-0.42126,
67.35156,-2.25830,3.02124,-3.32642,0.16187,-0.57690,0.83496,,-0.76221,-0.38315,-0.30790,-0.42122,
67.35938,-2.01416,3.23486,-2.83813,0.14966,-0.58301,0.82471,,-0.76229,-0.38287,-0.30806,-0.42121,
67.36719,-1.34277,2.77710,-2.86865,0.16431,-0.58179,0.82935,,-0.76237,-0.38263,-0.30822,-0.42118,
67.37500,-1.06812,3.50952,-2.28882,0.15161,-0.57007,0.83911,,-0.76241,-0.38240,-0.30841,-0.42118,
67.38281,-1.67847,2.74658,-2.28882,0.17236,-0.58984,0.81909,,-0.76248,-0.38216,-0.30853,-0.42118,
67.39063,-1.46484,3.20435,-1.89209,0.17139,-0.59326,0.80566,,-0.76252,-0.38192,-0.30868,-0.42121,
67.39844,0.91553,4.42505,-1.46484,0.17407,-0.59717,0.82153,,-0.76246,-0.38179,-0.30895,-0.42124,
67.40625,1.64795,5.21851,-1.25122,0.16626,-0.58521,0.83862,,-0.76236,-0.38167,-0.30928,-0.42129,
67.41406,1.28174,5.12695,-1.31226,0.16406,-0.58643,0.83740,,-0.76228,-0.38153,-0.30959,-0.42134,
67.42188,1.43433,5.64575,-1.25122,0.16724,-0.58667,0.82129,,-0.76217,-0.38139,-0.30993,-0.42140,
67.42969,2.44141,6.53076,-0.82397,0.16431,-0.57422,0.83887,,-0.76201,-0.38128,-0.31034,-0.42148,
67.43750,2.25830,6.59180,-0.67139,0.16602,-0.57129,0.84448,,-0.76185,-0.38117,-0.31073,-0.42158,
67.44531,1.12915,6.50024,-0.42725,0.15796,-0.58203,0.83423,,-0.76172,-0.38100,-0.31109,-0.42172,
67.45313,1.86157,6.86646,-0.03052,0.15454,-0.58301,0.82813,,-0.76154,-0.38088,-0.31148,-0.42187,
67.46094,2.38037,7.04956,0.03052,0.14478,-0.57886,0.83887,,-0.76135,-0.38077,-0.31188,-0.42201,
67.46875,1.64795,6.77490,0.09155,0.14136,-0.57080,0.84521,,-0.76118,-0.38063,-0.31226,-0.42217,
67.47656,1.34277,6.50024,-0.06104,0.13477,-0.57666,0.84253,,-0.76102,-0.38049,-0.31261,-0.42231,
67.48438,1.19019,5.98145,-0.27466,0.14575,-0.58130,0.84521,,-0.76089,-0.38034,-0.31294,-0.42244,
67.49219,0.54932,5.76782,-0.39673,0.13135,-0.58301,0.83447,,-0.76078,-0.38017,-0.31324,-0.42257,
67.50000,0.70190,5.21851,-0.64087,0.13452,-0.58667,0.83740,,-0.76069,-0.38001,-0.31352,-0.42267,
67.50781,0.88501,5.40161,-0.91553,0.13208,-0.58643,0.83813,,-0.76060,-0.37985,-0.31382,-0.42275,
67.51563,0.79346,4.69971,-1.49536,0.13086,-0.59448,0.83569,,-0.76054,-0.37970,-0.31410,-0.42279,
67.52344,1.06812,4.33350,-1.73950,0.13892,-0.59253,0.83057,,-0.76049,-0.37956,-0.31438,-0.42280,
67.53125,1.80054,3.84521,-2.01416,0.14282,-0.59521,0.83081,,-0.76043,-0.37947,-0.31466,-0.42276,
67.53906,2.25830,4.21143,-2.19727,0.14844,-0.59229,0.83765,,-0.76037,-0.37940,-0.31497,-0.42272,
67.54688,2.13623,4.24194,-2.31934,0.14282,-0.59351,0.83154,,-0.76031,-0.37931,-0.31529,-0.42268,
